Format Version,1.22,Take Name,crazyflie_hlc23,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 16:21:37 -0500,Total Frames in Take,933,Total Exported Frames,933,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 4487,Unlabeled 4487,Unlabeled 4487,Unlabeled 4488,Unlabeled 4488,Unlabeled 4488,Unlabeled 4489,Unlabeled 4489,Unlabeled 4489,Unlabeled 4490,Unlabeled 4490,Unlabeled 4490,Unlabeled 4491,Unlabeled 4491,Unlabeled 4491,Unlabeled 4492,Unlabeled 4492,Unlabeled 4492,Unlabeled 4493,Unlabeled 4493,Unlabeled 4493,Unlabeled 4494,Unlabeled 4494,Unlabeled 4494,Unlabeled 4495,Unlabeled 4495,Unlabeled 4495,Unlabeled 4496,Unlabeled 4496,Unlabeled 4496,Unlabeled 4497,Unlabeled 4497,Unlabeled 4497,Unlabeled 4498,Unlabeled 4498,Unlabeled 4498,Unlabeled 4499,Unlabeled 4499,Unlabeled 4499,Unlabeled 4500,Unlabeled 4500,Unlabeled 4500,Unlabeled 4501,Unlabeled 4501,Unlabeled 4501,Unlabeled 4502,Unlabeled 4502,Unlabeled 4502,Unlabeled 4503,Unlabeled 4503,Unlabeled 4503,Unlabeled 4504,Unlabeled 4504,Unlabeled 4504,Unlabeled 4505,Unlabeled 4505,Unlabeled 4505,Unlabeled 4506,Unlabeled 4506,Unlabeled 4506,Unlabeled 4507,Unlabeled 4507,Unlabeled 4507,Unlabeled 4508,Unlabeled 4508,Unlabeled 4508,Unlabeled 4509,Unlabeled 4509,Unlabeled 4509,Unlabeled 4510,Unlabeled 4510,Unlabeled 4510,Unlabeled 4511,Unlabeled 4511,Unlabeled 4511,Unlabeled 4512,Unlabeled 4512,Unlabeled 4512,Unlabeled 4513,Unlabeled 4513,Unlabeled 4513,Unlabeled 4514,Unlabeled 4514,Unlabeled 4514,Unlabeled 4515,Unlabeled 4515,Unlabeled 4515,Unlabeled 4516,Unlabeled 4516,Unlabeled 4516,Unlabeled 4517,Unlabeled 4517,Unlabeled 4517,Unlabeled 4518,Unlabeled 4518,Unlabeled 4518,Unlabeled 4519,Unlabeled 4519,Unlabeled 4519,Unlabeled 4520,Unlabeled 4520,Unlabeled 4520,Unlabeled 4521,Unlabeled 4521,Unlabeled 4521,Unlabeled 4523,Unlabeled 4523,Unlabeled 4523,Unlabeled 4524,Unlabeled 4524,Unlabeled 4524,Unlabeled 4525,Unlabeled 4525,Unlabeled 4525,Unlabeled 4526,Unlabeled 4526,Unlabeled 4526,Unlabeled 4527,Unlabeled 4527,Unlabeled 4527,Unlabeled 4529,Unlabeled 4529,Unlabeled 4529,Unlabeled 4530,Unlabeled 4530,Unlabeled 4530,Unlabeled 4531,Unlabeled 4531,Unlabeled 4531,Unlabeled 4533,Unlabeled 4533,Unlabeled 4533,Unlabeled 4534,Unlabeled 4534,Unlabeled 4534,Unlabeled 4536,Unlabeled 4536,Unlabeled 4536,Unlabeled 4538,Unlabeled 4538,Unlabeled 4538,Unlabeled 4539,Unlabeled 4539,Unlabeled 4539
,,"ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","ED406F77743811F0DFF24AA584E86B9E","107820","107820","107820","107900","107900","107900","108210","108210","108210","108240","108240","108240","FEF50","FEF50","FEF50","FEF90","FEF90","FEF90","FEFA0","FEFA0","FEFA0","FEFF0","FEFF0","FEFF0","FF000","FF000","FF000","FF010","FF010","FF010","FF040","FF040","FF040","FF080","FF080","FF080","FF0C0","FF0C0","FF0C0","FF0D0","FF0D0","FF0D0","FF170","FF170","FF170","FF180","FF180","FF180","FF190","FF190","FF190","FF1C0","FF1C0","FF1C0","FF1E0","FF1E0","FF1E0","FF300","FF300","FF300","FF330","FF330","FF330","FF340","FF340","FF340","FF800","FF800","FF800","101C30","101C30","101C30","101C50","101C50","101C50","101D60","101D60","101D60","101F40","101F40","101F40","102290","102290","102290","102890","102890","102890","104020","104020","104020","1040F0","1040F0","1040F0","104850","104850","104850","105330","105330","105330","106B10","106B10","106B10","106DD0","106DD0","106DD0","1070B0","1070B0","1070B0","108080","108080","108080","1082B0","1082B0","1082B0","108520","108520","108520","108530","108530","108530","108540","108540","108540","108550","108550","108550","108560","108560","108560","1083D0","1083D0","1083D0","1085A0","1085A0","1085A0","108590","108590","108590","1085B0","1085B0","1085B0","1085D0","1085D0","1085D0","1085F0","1085F0","1085F0","108610","108610","108610","108630","108630","108630","108620","108620","108620"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.036161,0.103813,0.009504,0.993894,69.708992,37.139606,-159.871994,0.129601,60.892803,37.304474,-163.882950,0.575068,76.417793,37.594440,-165.910583,0.790304,74.936638,36.978809,-155.132889,0.797984,66.588715,36.680706,-154.561554,0.540635,60.817951,37.291267,-164.007538,76.441879,37.602348,-165.890366,74.906784,36.962238,-155.199432,66.677177,36.707638,-154.360397,-134.851837,207.032562,160.377457,-135.034531,207.913071,163.941101,308.861420,205.921799,-133.432129,162.017319,284.867279,82.793060,138.103897,277.220825,92.948387,114.671265,277.591858,87.062119,51.145798,207.310303,49.117615,8.433806,205.540207,-119.221687,-79.184250,269.946899,44.630695,-95.754967,276.229156,82.623070,-105.804703,206.806610,-332.341949,-109.507278,276.587280,71.035194,-127.762482,275.885712,93.529739,-288.818634,206.345551,373.450867,-293.016144,205.600021,-3.754154,40.387432,205.144363,-122.215569,-166.987045,206.545685,224.365662,13.013018,205.441376,-255.721237,-149.129196,205.675339,49.621227,-292.866669,204.898651,167.162537,89.283127,207.647064,16.361429,100.839386,208.162216,192.226547,311.454407,206.735535,17.230701,-96.831474,207.238800,112.127892,102.570282,204.810837,-320.306458,-13.806120,207.942490,292.538116,79.080597,206.587173,-47.952057,42.226967,207.572144,282.556610,85.707130,208.612244,240.151794,216.856522,207.581802,83.846405,-18.633249,208.297470,85.633781,63.172768,207.232788,185.471848,203.940826,206.318954,-137.301697,131.397385,206.754593,53.909199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.035774,0.103018,0.009411,0.993991,69.697128,37.405331,-159.951340,0.147541,60.887409,37.568508,-163.976532,0.528327,76.415665,37.854351,-165.979538,0.722412,74.917152,37.247379,-155.203735,0.761419,66.568275,36.951084,-154.645554,0.512427,60.786892,37.552303,-164.091782,76.464775,37.863266,-165.945999,74.874344,37.231274,-155.292892,66.666206,36.980568,-154.441940,-134.848114,207.033630,160.380737,-135.046631,207.912903,163.918121,308.862610,205.920074,-133.428711,162.016159,284.871033,82.792068,138.101120,277.220734,92.933418,114.673141,277.587097,87.088539,51.148563,207.308929,49.117043,8.399396,205.553574,-119.159744,-79.176697,269.945892,44.620705,-95.753876,276.229431,82.621994,-105.805206,206.809784,-332.339508,-109.495255,276.589722,71.049690,-127.768768,275.886810,93.533943,-288.813202,206.348495,373.450500,-292.997894,205.594452,-3.758118,40.391468,205.162003,-122.219742,-166.986069,206.545547,224.368103,13.013256,205.442078,-255.722641,-149.129028,205.675201,49.621452,-292.310272,205.100662,166.746811,89.284592,207.646606,16.364964,100.839081,208.161514,192.227890,311.471375,206.736618,17.222500,-96.903519,207.304855,111.916878,102.570686,204.810959,-320.306183,-13.807154,207.943695,292.538666,79.081627,206.585861,-47.951004,42.230988,207.571381,282.557373,85.704712,208.612564,240.144638,216.856552,207.578659,83.843742,-18.633356,208.297424,85.632454,63.177937,207.234314,185.472641,203.940369,206.318954,-137.301514,131.398193,206.754730,53.913490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.035701,0.103729,0.009838,0.993916,69.684692,37.668541,-160.036987,0.143660,60.869209,37.823368,-164.049881,0.532195,76.394394,38.123329,-166.074585,0.737974,74.911484,37.515694,-155.296661,0.780942,66.563675,37.211777,-154.726807,0.512289,60.776264,37.809288,-164.170532,76.437286,38.131989,-166.050034,74.874825,37.501381,-155.375320,66.654190,37.238579,-154.517868,-134.848068,207.030945,160.381027,-135.047318,207.912582,163.915436,308.859863,205.920868,-133.430054,162.019012,284.869812,82.789932,138.103973,277.220886,92.937851,114.676437,277.586548,87.090683,51.145573,207.307861,49.114532,8.428065,205.539413,-119.206535,-79.177139,269.946350,44.620850,-95.753197,276.229034,82.621597,-105.792305,206.803467,-332.333252,-109.500031,276.588715,71.038528,-127.767540,275.887878,93.538963,-288.814972,206.344513,373.446686,-292.979156,205.598785,-3.758699,40.393005,205.161102,-122.219612,-166.986404,206.545288,224.367111,13.013018,205.441666,-255.722504,-149.130936,205.674057,49.623249,-292.861694,204.899384,167.160248,89.283440,207.647736,16.361660,100.839340,208.161423,192.227554,311.466614,206.736130,17.224503,-96.905663,207.306427,111.915276,102.571342,204.811172,-320.307922,-13.806287,207.942703,292.538391,79.082077,206.586166,-47.951115,42.228203,207.570236,282.557251,85.708366,208.613724,240.153915,216.856812,207.579712,83.846581,-18.634111,208.297638,85.630539,63.168491,207.232620,185.472351,203.942017,206.318542,-137.301941,131.399399,206.752441,53.909271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.035969,0.105531,0.010773,0.993707,69.646339,37.908195,-160.083893,0.075887,60.816322,38.048771,-164.065247,0.793112,76.333580,38.380219,-166.145035,0.758991,74.890274,37.762142,-155.362335,0.881466,66.545151,37.441654,-154.762955,0.807559,60.777687,38.037670,-164.087265,76.409714,38.393478,-166.119583,74.855530,37.748013,-155.443604,66.549011,37.458618,-154.677094,-134.844421,207.033447,160.384613,-135.047409,207.913162,163.914963,308.857544,205.919098,-133.432159,162.014725,284.869080,82.796188,138.108749,277.220947,92.941620,114.674690,277.588684,87.077019,51.145180,207.307816,49.113464,8.427836,205.537338,-119.207230,-79.178619,269.946350,44.624458,-95.753036,276.228394,82.624809,-105.805626,206.809326,-332.336060,-109.498596,276.587769,71.040726,-127.768219,275.886475,93.537056,-288.817047,206.345459,373.450043,-292.999390,205.595154,-3.756783,40.290287,205.166595,-122.271408,-166.985733,206.544205,224.365402,13.013161,205.442627,-255.722763,-149.127060,205.674194,49.623688,-292.867584,204.896683,167.163269,89.284096,207.647705,16.362869,100.839302,208.161240,192.228821,311.470398,206.734329,17.224884,-96.905579,207.304520,111.917450,102.570236,204.810257,-320.311493,-13.808396,207.942032,292.539307,79.080254,206.585434,-47.950100,42.227928,207.571915,282.557404,85.709335,208.611389,240.156479,216.868942,207.576538,83.816666,-18.630768,208.299255,85.631981,63.173569,207.232590,185.472366,203.943420,206.317596,-137.301331,131.400452,206.752396,53.913151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.036138,0.103036,0.009080,0.993980,69.664352,38.186958,-160.190353,0.131004,60.854469,38.359215,-164.214844,0.593005,76.382805,38.635017,-166.218735,0.785786,74.884583,38.022079,-155.443222,0.780512,66.535530,37.731525,-154.884644,0.530653,60.784531,38.353947,-164.334946,76.404091,38.641045,-166.188660,74.848129,38.012096,-155.525497,66.636208,37.749161,-154.676193,-134.849365,207.032532,160.381134,-135.048645,207.914810,163.911728,308.859344,205.918472,-133.428070,162.014191,284.866791,82.797874,138.108139,277.217255,92.949341,114.678253,277.584747,87.088585,51.144611,207.310989,49.115932,8.398392,205.553940,-119.166061,-79.174873,269.945038,44.623650,-95.753555,276.226624,82.624016,-105.805397,206.806976,-332.338013,-109.501175,276.587402,71.042824,-127.766541,275.886230,93.532333,-288.814697,206.345337,373.446503,-292.992065,205.599243,-3.756827,40.393684,205.160172,-122.217415,-166.986816,206.546402,224.367706,13.011873,205.441742,-255.720901,-149.129074,205.675003,49.615265,-292.869720,204.897141,167.162109,89.284637,207.648590,16.358822,100.838646,208.161133,192.225342,311.488525,206.733841,17.219353,-96.906982,207.305115,111.916306,102.571281,204.810120,-320.306763,-13.806272,207.942337,292.539886,79.081718,206.585724,-47.951218,42.229183,207.572006,282.558075,85.707237,208.610321,240.148453,216.857330,207.579010,83.803772,-18.631266,208.299988,85.627182,63.170330,207.231003,185.473495,203.942947,206.317383,-137.301620,131.400864,206.753616,53.916695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.036070,0.103634,0.009096,0.993920,69.666740,38.443790,-160.260193,0.124102,60.852032,38.614697,-164.274139,0.596208,76.377930,38.891617,-166.296661,0.797527,74.892670,38.280045,-155.519287,0.795218,66.544319,37.988815,-154.950684,0.570030,60.785110,38.605392,-164.405930,76.392944,38.900219,-166.265503,74.871101,38.265770,-155.594208,66.623459,38.013092,-154.753738,-134.848053,207.031036,160.381607,-135.047882,207.914215,163.915344,308.851837,205.921127,-133.429901,162.020355,284.873138,82.794098,138.107056,277.219391,92.929367,114.678070,277.589447,87.079788,51.144348,207.310898,49.114777,8.429988,205.539886,-119.211288,-79.183708,269.946167,44.626976,-95.754051,276.221436,82.625618,-105.794594,206.805939,-332.319214,-109.500885,276.587402,71.038345,-127.758881,275.886902,93.536064,-288.810669,206.346970,373.448181,-292.952118,205.597382,-3.760383,40.393085,205.160645,-122.220230,-166.986191,206.545181,224.366577,13.011848,205.442551,-255.722000,-149.129242,205.672409,49.619095,-292.864655,204.898102,167.161743,89.284607,207.648560,16.362234,100.838722,208.160187,192.226700,311.445038,206.736252,17.235756,-96.902969,207.304413,111.924126,102.572060,204.810455,-320.306793,-13.805552,207.943466,292.537628,79.081223,206.586533,-47.952049,42.228130,207.570297,282.555298,85.708298,208.611176,240.154861,216.870026,207.578140,83.812019,-18.629105,208.300323,85.626564,63.174511,207.234711,185.472366,203.941559,206.318314,-137.301956,131.398987,206.754089,53.909813,310.481049,209.150314,374.377625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
