Format Version,1.22,Take Name,crazyflie_traj16,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 07:06:47 -0500,Total Frames in Take,964,Total Exported Frames,964,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 3359,Unlabeled 3359,Unlabeled 3359,Unlabeled 3360,Unlabeled 3360,Unlabeled 3360,Unlabeled 3361,Unlabeled 3361,Unlabeled 3361,Unlabeled 3362,Unlabeled 3362,Unlabeled 3362,Unlabeled 3363,Unlabeled 3363,Unlabeled 3363,Unlabeled 3364,Unlabeled 3364,Unlabeled 3364,Unlabeled 3365,Unlabeled 3365,Unlabeled 3365,Unlabeled 3366,Unlabeled 3366,Unlabeled 3366,Unlabeled 3367,Unlabeled 3367,Unlabeled 3367,Unlabeled 3368,Unlabeled 3368,Unlabeled 3368,Unlabeled 3369,Unlabeled 3369,Unlabeled 3369,Unlabeled 3370,Unlabeled 3370,Unlabeled 3370,Unlabeled 3371,Unlabeled 3371,Unlabeled 3371,Unlabeled 3372,Unlabeled 3372,Unlabeled 3372,Unlabeled 3373,Unlabeled 3373,Unlabeled 3373,Unlabeled 3374,Unlabeled 3374,Unlabeled 3374,Unlabeled 3375,Unlabeled 3375,Unlabeled 3375,Unlabeled 3376,Unlabeled 3376,Unlabeled 3376,Unlabeled 3377,Unlabeled 3377,Unlabeled 3377,Unlabeled 3378,Unlabeled 3378,Unlabeled 3378,Unlabeled 3379,Unlabeled 3379,Unlabeled 3379,Unlabeled 3380,Unlabeled 3380,Unlabeled 3380,Unlabeled 3381,Unlabeled 3381,Unlabeled 3381,Unlabeled 3382,Unlabeled 3382,Unlabeled 3382,Unlabeled 3383,Unlabeled 3383,Unlabeled 3383,Unlabeled 3384,Unlabeled 3384,Unlabeled 3384,Unlabeled 3385,Unlabeled 3385,Unlabeled 3385,Unlabeled 3386,Unlabeled 3386,Unlabeled 3386,Unlabeled 3387,Unlabeled 3387,Unlabeled 3387,Unlabeled 3388,Unlabeled 3388,Unlabeled 3388,Unlabeled 3389,Unlabeled 3389,Unlabeled 3389,Unlabeled 3392,Unlabeled 3392,Unlabeled 3392,Unlabeled 3399,Unlabeled 3399,Unlabeled 3399
,,"32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","FEB50","FEB50","FEB50","FEB30","FEB30","FEB30","FEB40","FEB40","FEB40","1008C0","1008C0","1008C0","FE850","FE850","FE850","FE8D0","FE8D0","FE8D0","FEA20","FEA20","FEA20","FEA30","FEA30","FEA30","FEA50","FEA50","FEA50","FEA70","FEA70","FEA70","FEA80","FEA80","FEA80","FEA90","FEA90","FEA90","FEAA0","FEAA0","FEAA0","FEAB0","FEAB0","FEAB0","FEAD0","FEAD0","FEAD0","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB70","FEB70","FEB70","FEB80","FEB80","FEB80","FEC00","FEC00","FEC00","FEC10","FEC10","FEC10","FEC30","FEC30","FEC30","FEC40","FEC40","FEC40","FEC50","FEC50","FEC50","FEC60","FEC60","FEC60","FED40","FED40","FED40","FED80","FED80","FED80","FF4C0","FF4C0","FF4C0","100340","100340","100340","1007D0","1007D0","1007D0","100E30","100E30","100E30","101140","101140","101140","1011A0","1011A0","1011A0","101260","101260","101260","101280","101280","101280","1012A0","1012A0","1012A0","101300","101300","101300"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.006806,-0.706680,0.001947,-0.707498,-126.229904,3.198834,170.614777,0.050714,-119.027374,3.355565,177.759583,0.871394,-133.548523,2.801844,167.448471,0.910717,-133.290985,3.075840,172.892334,0.929408,-119.052742,3.562089,164.358719,0.781337,-119.023621,3.364473,177.688095,-133.573273,2.817055,167.444458,-133.322449,3.059011,172.911255,-118.990646,3.554443,164.420517,-126.631737,206.149887,104.335976,-100.863792,207.823944,505.409576,-25.113842,207.810379,273.616302,115.454933,276.733459,91.417511,51.672726,207.012863,26.163746,311.268341,206.693390,17.306982,310.504578,209.132904,374.384583,306.124664,208.747055,197.830429,220.433304,207.608246,75.387703,203.925827,206.354095,-137.310822,138.092178,277.216400,92.824127,137.308380,280.702271,70.153000,115.794014,279.209503,98.599831,-79.172745,269.919189,44.616081,-95.750099,276.195160,82.631325,-105.791138,206.794449,-332.339417,-127.758202,275.868500,93.533112,-288.807861,206.345322,373.436554,-292.810364,204.877289,167.159546,-293.017487,205.574326,-3.756195,-294.857574,205.415344,-152.836746,131.401871,206.749268,53.919823,308.840668,205.880493,-133.430267,-95.971634,206.935913,20.504593,-96.806786,281.235168,86.116005,-38.638718,207.535675,-62.865734,42.946815,207.532089,-59.298843,-135.124847,207.904053,163.123795,107.389786,207.998611,119.808815,0.162286,208.044846,348.775482,,,,,,,,,
1,0.008333,0.007529,-0.706290,0.001840,-0.707880,-126.237991,3.191619,170.598465,0.066771,-119.043442,3.363047,177.750977,0.849234,-133.552689,2.783249,167.424545,0.828484,-133.301392,3.062274,172.868439,0.886945,-119.054451,3.557909,164.349915,0.767624,-119.025543,3.368315,177.686279,-133.604904,2.787954,167.387100,-133.323242,3.055075,172.905258,-118.992683,3.555285,164.419266,-126.633545,206.151764,104.341248,-100.856651,207.841614,505.400421,-25.112434,207.810303,273.615540,115.453705,276.732727,91.414635,51.672565,207.011932,26.157452,311.271149,206.695084,17.306581,310.505310,209.130981,374.389893,306.110352,208.748886,197.829239,220.438721,207.605270,75.394608,203.926132,206.355209,-137.310333,138.092896,277.217804,92.833473,137.309296,280.704834,70.159439,115.794144,279.208588,98.599434,-79.179512,269.923859,44.619919,-95.750397,276.195892,82.628868,-105.790482,206.794861,-332.346405,-127.756897,275.865692,93.526413,-288.808685,206.344025,373.436035,-292.814087,204.877518,167.159073,-293.024719,205.572723,-3.756434,-294.851929,205.416962,-152.838928,131.425720,206.711487,53.940426,308.849609,205.882004,-133.425003,-95.971283,206.936356,20.502340,-96.806480,281.235168,86.117706,-38.653259,207.549103,-62.975456,42.948765,207.533096,-59.304737,-135.123489,207.903290,163.125793,107.371735,208.041046,119.836716,,,,,,,,,,,,
2,0.016667,0.006889,-0.706021,0.001776,-0.708156,-126.225304,3.189622,170.616409,0.081185,-119.036140,3.348088,177.774628,0.791654,-133.537872,2.790333,167.436447,0.763522,-133.290558,3.063713,172.880798,0.828035,-119.036652,3.556354,164.373764,0.804938,-118.982635,3.351449,177.741760,-133.605713,2.787584,167.387253,-133.324509,3.062534,172.912567,-118.989929,3.556853,164.420288,-126.631355,206.151031,104.336571,-100.854530,207.842834,505.394470,-25.113510,207.810043,273.618561,115.454468,276.734131,91.419373,51.671947,207.013947,26.159763,311.268158,206.697937,17.305744,310.504913,209.127380,374.386414,306.121002,208.746475,197.829437,220.434158,207.606644,75.383301,203.925232,206.354828,-137.310425,138.097107,277.216644,92.817879,137.307144,280.704254,70.155212,115.791344,279.208862,98.599983,-79.181740,269.921783,44.624722,-95.751671,276.196625,82.626549,-105.790924,206.795380,-332.343689,-127.757957,275.865265,93.531746,-288.810455,206.347198,373.436737,-292.808258,204.875641,167.154938,-293.018188,205.572815,-3.759009,-294.855774,205.417892,-152.837112,131.422379,206.711075,53.938557,308.841248,205.882172,-133.427933,-95.972473,206.935638,20.500671,-96.807671,281.236267,86.116676,-38.652794,207.549881,-62.966873,42.947842,207.530457,-59.304993,-135.123779,207.905029,163.129044,107.389740,207.997711,119.814445,,,,,,,,,,,,
3,0.025000,0.006123,-0.706463,0.001784,-0.707722,-126.221832,3.195880,170.625137,0.053485,-119.023659,3.338765,177.774628,0.852976,-133.538757,2.808051,167.453796,0.898109,-133.284409,3.075333,172.898132,0.891617,-119.040504,3.561371,164.374008,0.822449,-118.990120,3.346227,177.732254,-133.573349,2.818462,167.444580,-133.325165,3.062098,172.907898,-118.993271,3.556696,164.417572,-126.630989,206.151169,104.338745,-100.862503,207.822830,505.406952,-25.113729,207.810287,273.616516,115.457275,276.732422,91.418755,51.672291,207.012177,26.160288,311.266998,206.697006,17.309576,310.508240,209.129074,374.385895,306.115784,208.749252,197.827148,220.436951,207.606369,75.397362,203.925751,206.354874,-137.310715,138.089828,277.219421,92.825508,137.311005,280.702271,70.160179,115.791359,279.209747,98.600998,-79.180893,269.924683,44.628025,-95.750031,276.196350,82.631340,-105.790497,206.794617,-332.345032,-127.759430,275.868286,93.526543,-288.812347,206.348083,373.438416,-292.811981,204.876892,167.161530,-293.022247,205.574921,-3.758171,-295.001709,205.582901,-152.883896,131.401718,206.749481,53.921551,308.848633,205.881454,-133.426697,-95.971283,206.934265,20.502449,-96.806946,281.234436,86.116074,,,,42.946739,207.533234,-59.304142,-135.125015,207.903580,163.121506,107.391930,207.997299,119.809387,,,,,,,,,,,,
4,0.033333,0.006382,-0.706427,0.001727,-0.707755,-126.220551,3.195053,170.625931,0.054309,-119.023117,3.343198,177.776062,0.847394,-133.536987,2.803044,167.454010,0.892219,-133.283295,3.071991,172.898285,0.890448,-119.038788,3.561978,164.375381,0.826850,-118.986473,3.351763,177.736176,-133.573914,2.815383,167.443512,-133.323303,3.056640,172.907074,-118.993378,3.556401,164.418106,-126.630737,206.150986,104.339363,-100.862358,207.824844,505.413544,-25.113434,207.809570,273.616394,115.453873,276.734589,91.418175,51.674152,207.013657,26.163626,311.269318,206.695770,17.306759,310.500183,209.129669,374.383179,306.122650,208.747070,197.827057,220.433548,207.607849,75.385628,203.925323,206.354446,-137.310638,138.091858,277.217377,92.824600,137.300461,280.704895,70.151917,115.793228,279.206879,98.600754,-79.187752,269.925873,44.629169,-95.750565,276.196533,82.627312,-105.790504,206.793793,-332.339905,-127.765045,275.869049,93.524902,-288.808502,206.346100,373.436890,-292.809082,204.876114,167.157715,-293.031464,205.574081,-3.753304,-295.007446,205.581039,-152.884567,131.425446,206.713348,53.939629,308.842163,205.879730,-133.429688,-96.061562,206.979279,20.424355,-96.806351,281.235870,86.117218,-38.652176,207.550430,-62.974953,42.948391,207.530945,-59.303486,-135.123734,207.902740,163.125702,107.391045,207.998901,119.812538,,,,,,,,,,,,
5,0.041667,0.006805,-0.705738,0.002338,-0.708436,-126.230255,3.194004,170.606674,0.075996,-119.046700,3.350727,177.770569,0.784671,-133.540619,2.799244,167.421097,0.792137,-133.297424,3.076056,172.865463,0.849616,-119.036255,3.549990,164.369568,0.813621,-118.987747,3.349425,177.735931,-133.605515,2.785331,167.384048,-133.332428,3.085371,172.884064,-118.993591,3.555042,164.419235,-126.632286,206.151398,104.340157,-100.865211,207.823868,505.413147,-25.113892,207.810806,273.617889,115.454224,276.733765,91.418274,51.670868,207.012680,26.151394,311.266998,206.694550,17.307484,310.507172,209.132843,374.388855,306.121552,208.749252,197.828415,220.436981,207.605316,75.398697,203.927109,206.354706,-137.310226,138.092224,277.220520,92.823120,137.310257,280.702484,70.156250,115.793037,279.209625,98.598419,-79.180824,269.923126,44.624268,-95.754990,276.195496,82.628670,-105.790543,206.795074,-332.343353,-127.758110,275.864960,93.529648,-288.811340,206.347778,373.438904,-292.811493,204.876083,167.159515,-293.022644,205.574707,-3.757027,-294.849670,205.415604,-152.834808,131.401596,206.748199,53.920166,308.834900,205.881042,-133.428146,-95.973709,206.936508,20.503128,-96.807549,281.234741,86.117401,-38.652931,207.549637,-62.977482,42.947014,207.532089,-59.302582,-135.109131,207.903107,163.152023,107.393333,207.998138,119.808052,,,,,,,,,,,,
