Format Version,1.22,Take Name,crazyflie_traj17,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 07:07:41 -0500,Total Frames in Take,992,Total Exported Frames,992,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 3406,Unlabeled 3406,Unlabeled 3406,Unlabeled 3407,Unlabeled 3407,Unlabeled 3407,Unlabeled 3408,Unlabeled 3408,Unlabeled 3408,Unlabeled 3409,Unlabeled 3409,Unlabeled 3409,Unlabeled 3410,Unlabeled 3410,Unlabeled 3410,Unlabeled 3411,Unlabeled 3411,Unlabeled 3411,Unlabeled 3412,Unlabeled 3412,Unlabeled 3412,Unlabeled 3413,Unlabeled 3413,Unlabeled 3413,Unlabeled 3414,Unlabeled 3414,Unlabeled 3414,Unlabeled 3415,Unlabeled 3415,Unlabeled 3415,Unlabeled 3416,Unlabeled 3416,Unlabeled 3416,Unlabeled 3417,Unlabeled 3417,Unlabeled 3417,Unlabeled 3418,Unlabeled 3418,Unlabeled 3418,Unlabeled 3419,Unlabeled 3419,Unlabeled 3419,Unlabeled 3420,Unlabeled 3420,Unlabeled 3420,Unlabeled 3421,Unlabeled 3421,Unlabeled 3421,Unlabeled 3422,Unlabeled 3422,Unlabeled 3422,Unlabeled 3423,Unlabeled 3423,Unlabeled 3423,Unlabeled 3424,Unlabeled 3424,Unlabeled 3424,Unlabeled 3425,Unlabeled 3425,Unlabeled 3425,Unlabeled 3426,Unlabeled 3426,Unlabeled 3426,Unlabeled 3427,Unlabeled 3427,Unlabeled 3427,Unlabeled 3428,Unlabeled 3428,Unlabeled 3428,Unlabeled 3429,Unlabeled 3429,Unlabeled 3429,Unlabeled 3430,Unlabeled 3430,Unlabeled 3430,Unlabeled 3431,Unlabeled 3431,Unlabeled 3431,Unlabeled 3432,Unlabeled 3432,Unlabeled 3432,Unlabeled 3433,Unlabeled 3433,Unlabeled 3433,Unlabeled 3434,Unlabeled 3434,Unlabeled 3434,Unlabeled 3435,Unlabeled 3435,Unlabeled 3435,Unlabeled 3437,Unlabeled 3437,Unlabeled 3437,Unlabeled 3441,Unlabeled 3441,Unlabeled 3441,Unlabeled 3442,Unlabeled 3442,Unlabeled 3442,Unlabeled 3443,Unlabeled 3443,Unlabeled 3443,Unlabeled 3446,Unlabeled 3446,Unlabeled 3446,Unlabeled 3448,Unlabeled 3448,Unlabeled 3448,Unlabeled 3449,Unlabeled 3449,Unlabeled 3449,Unlabeled 3450,Unlabeled 3450,Unlabeled 3450,Unlabeled 3451,Unlabeled 3451,Unlabeled 3451,Unlabeled 3453,Unlabeled 3453,Unlabeled 3453
,,"32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","1016B0","1016B0","1016B0","FEB30","FEB30","FEB30","FEB40","FEB40","FEB40","101670","101670","101670","FE850","FE850","FE850","FE8D0","FE8D0","FE8D0","FEA20","FEA20","FEA20","FEA30","FEA30","FEA30","FEA50","FEA50","FEA50","FEA70","FEA70","FEA70","FEA80","FEA80","FEA80","FEA90","FEA90","FEA90","FEAA0","FEAA0","FEAA0","FEAB0","FEAB0","FEAB0","FEAD0","FEAD0","FEAD0","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB70","FEB70","FEB70","FEB80","FEB80","FEB80","FEC00","FEC00","FEC00","FEC10","FEC10","FEC10","FEC30","FEC30","FEC30","FEC40","FEC40","FEC40","FEC50","FEC50","FEC50","FEC60","FEC60","FEC60","FED40","FED40","FED40","FED80","FED80","FED80","FF4C0","FF4C0","FF4C0","100340","100340","100340","100E30","100E30","100E30","101140","101140","101140","1011A0","1011A0","1011A0","101360","101360","101360","101800","101800","101800","101830","101830","101830","101870","101870","101870","101890","101890","101890","101880","101880","101880","1018C0","1018C0","1018C0","1018E0","1018E0","1018E0","1018D0","1018D0","1018D0","1018F0","1018F0","1018F0","101920","101920","101920","101900","101900","101900"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.007297,-0.699580,-0.002507,-0.714512,-126.276337,3.173128,170.526062,0.105658,-119.218567,3.339710,177.813675,0.696262,-133.527542,2.742642,167.212448,0.700283,-133.380219,2.987201,172.661804,0.711444,-118.979034,3.622959,164.416321,0.835429,-119.100700,3.358948,177.837479,-133.628998,2.774649,167.222183,-133.374130,2.950589,172.565643,-118.997368,3.611277,164.470215,-126.632782,206.152435,104.335129,-100.857269,207.844513,505.393890,-25.114172,207.810425,273.616791,115.457771,276.735901,91.416458,51.673149,207.013458,26.157093,311.269867,206.699066,17.306288,310.506134,209.132721,374.386230,306.120361,208.748550,197.831284,220.437454,207.605743,75.395409,203.925018,206.355362,-137.310928,138.093109,277.221497,92.827942,137.298950,280.706573,70.149460,115.794205,279.208344,98.601471,-79.193283,269.925720,44.630253,-95.752266,276.197601,82.625076,-105.790314,206.793686,-332.344116,-127.757576,275.866333,93.526581,-288.813446,206.347748,373.440918,-292.813293,204.880524,167.159088,-293.020538,205.574799,-3.757957,-295.003143,205.581528,-152.880829,131.424576,206.711441,53.940285,308.842743,205.885666,-133.428558,-95.975815,206.936523,20.499886,-96.804558,281.236450,86.115959,42.946934,207.532959,-59.303295,-135.108521,207.905106,163.159363,107.391121,207.999969,119.811722,-38.641270,207.534546,-62.866688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.007343,-0.699589,-0.002471,-0.714504,-126.275574,3.173867,170.526840,0.107653,-119.217621,3.341389,177.814270,0.695004,-133.526855,2.742900,167.213455,0.689358,-133.379395,2.988097,172.662766,0.699854,-118.978432,3.623080,164.416870,0.839249,-119.098343,3.360642,177.842743,-133.629791,2.776129,167.225540,-133.373886,2.950135,172.561432,-118.997253,3.611503,164.467926,-126.632118,206.153290,104.338753,-100.865433,207.828354,505.411957,-25.114580,207.810333,273.616302,115.456139,276.734253,91.416458,51.672531,207.014709,26.168179,311.267761,206.697342,17.305855,310.509216,209.133743,374.386200,306.125702,208.748932,197.831360,220.435120,207.607101,75.383636,203.925949,206.355499,-137.310669,138.091736,277.218536,92.826080,137.304153,280.704865,70.153862,115.793541,279.208527,98.599846,-79.180458,269.925079,44.623886,-95.752174,276.198456,82.627129,-105.790520,206.794876,-332.347809,-127.758667,275.871185,93.524948,-288.813721,206.345993,373.440491,-292.804962,204.879715,167.152924,-293.024323,205.572891,-3.757855,-294.999756,205.583649,-152.877731,131.401001,206.750351,53.916462,308.843506,205.882309,-133.428024,-96.063843,206.981308,20.421314,-96.806808,281.236755,86.117760,42.947689,207.533051,-59.303921,-135.108490,207.903595,163.156311,107.374657,208.042740,119.829559,-38.642448,207.537079,-62.869667,0.166833,208.044556,348.772491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.007118,-0.699619,-0.002481,-0.714476,-126.274582,3.172859,170.527542,0.105553,-119.215988,3.335819,177.814438,0.693753,-133.526260,2.745184,167.214615,0.698116,-133.378296,2.988512,172.664001,0.714033,-118.977806,3.621922,164.417130,0.838565,-119.096794,3.354111,177.838562,-133.628281,2.774995,167.224350,-133.374481,2.954397,172.569260,-118.994728,3.611012,164.469727,-126.631355,206.153107,104.339203,-100.864830,207.826202,505.413666,-25.114895,207.808990,273.616455,115.457512,276.733734,91.418442,51.674686,207.013916,26.171185,311.267487,206.697433,17.303097,310.500397,209.132889,374.383789,306.123230,208.749298,197.828461,220.434708,207.607452,75.381638,203.926498,206.355316,-137.310318,138.092590,277.218964,92.828705,137.300949,280.706451,70.148918,115.791687,279.209839,98.601852,-79.183136,269.922821,44.623863,-95.749962,276.197205,82.631195,-105.790245,206.794189,-332.344147,-127.760788,275.868927,93.528091,-288.813873,206.347916,373.437286,-292.808838,204.878540,167.156631,-293.018860,205.572968,-3.757274,-294.997437,205.583160,-152.877701,131.403259,206.752090,53.923309,308.835754,205.884384,-133.428833,-95.974304,206.937271,20.501350,-96.808678,281.234375,86.118446,42.947819,207.532928,-59.304905,-135.125320,207.903549,163.123138,107.392242,208.000443,119.805763,-38.656471,207.550629,-62.982368,0.161535,208.045532,348.779968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.007268,-0.699603,-0.002465,-0.714490,-126.276306,3.173709,170.526581,0.104377,-119.218040,3.339726,177.813751,0.703640,-133.527756,2.743881,167.213440,0.703763,-133.380066,2.988528,172.662781,0.714852,-118.979347,3.622703,164.416382,0.833977,-119.103767,3.357717,177.836563,-133.628464,2.773523,167.224106,-133.372589,2.954476,172.566956,-118.997238,3.611706,164.470306,-126.630829,206.151932,104.339088,-100.866028,207.826111,505.417145,-25.114927,207.810715,273.617828,115.456688,276.734131,91.416077,51.672600,207.013458,26.165628,311.260101,206.697433,17.305508,310.502991,209.131317,374.385132,306.112976,208.750626,197.828156,220.436813,207.605957,75.398178,203.926437,206.355637,-137.310425,138.092636,277.219147,92.832901,137.308533,280.702881,70.156013,115.792862,279.208923,98.600388,-79.183495,269.926819,44.621719,-95.751068,276.199768,82.627579,-105.790588,206.796143,-332.343109,-127.754524,275.869232,93.528519,-288.809204,206.347702,373.434387,-292.805817,204.878815,167.151321,-293.023804,205.577164,-3.757590,-295.001099,205.581711,-152.881470,131.401016,206.750244,53.921074,308.843353,205.882355,-133.428329,-96.063385,206.981567,20.422840,-96.807274,281.235992,86.116150,42.947739,207.532532,-59.304386,-135.127213,207.905396,163.116745,107.394005,207.999115,119.806381,-38.657314,207.550644,-62.982323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.007119,-0.699623,-0.002536,-0.714473,-126.276627,3.172478,170.527664,0.105577,-119.217957,3.335461,177.814499,0.698779,-133.528305,2.744465,167.214783,0.700380,-133.380295,2.987396,172.664185,0.709160,-118.979958,3.622589,164.417191,0.835908,-119.101212,3.354171,177.838104,-133.628769,2.775730,167.226074,-133.374741,2.951464,172.566589,-118.998077,3.611220,164.470795,-126.631889,206.151764,104.339149,-100.866196,207.828812,505.413544,-25.113768,207.809952,273.615173,115.457489,276.735748,91.416046,51.671875,207.013397,26.154184,311.267151,206.699463,17.309235,310.505005,209.133072,374.388977,306.122253,208.750107,197.829514,220.433929,207.608627,75.384270,203.927521,206.355713,-137.310867,138.091553,277.221527,92.821976,137.301804,280.706512,70.150787,115.788185,279.207428,98.598984,-79.185524,269.925079,44.628845,-95.751999,276.199066,82.630783,-105.790504,206.795029,-332.344910,-127.749718,275.866547,93.535095,-288.812164,206.348541,373.439789,-292.810791,204.880280,167.156738,-293.013092,205.575851,-3.761208,-294.999420,205.580353,-152.877670,131.402267,206.750015,53.923595,308.833984,205.884125,-133.426453,-96.062744,206.980164,20.422804,-96.807610,281.238495,86.119247,42.948704,207.532806,-59.305836,-135.123032,207.904221,163.129242,107.391739,208.000061,119.813965,-38.640858,207.536133,-62.872169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.007211,-0.699628,-0.002536,-0.714467,-126.276543,3.173395,170.527451,0.105997,-119.217789,3.338243,177.814148,0.696905,-133.528214,2.744017,167.214722,0.699825,-133.380157,2.987686,172.664093,0.711885,-118.980011,3.623633,164.416809,0.831411,-119.101074,3.357080,177.835297,-133.630035,2.775164,167.226227,-133.374619,2.952018,172.567734,-118.996941,3.612184,164.471970,-126.630508,206.152557,104.337349,-100.856735,207.841904,505.401672,-25.114342,207.810333,273.614990,115.457329,276.734314,91.419800,51.675079,207.013412,26.171637,311.274139,206.695175,17.308014,310.504913,209.134918,374.387115,306.117676,208.749863,197.828171,220.437805,207.606720,75.394875,203.926376,206.354813,-137.310425,138.093048,277.218842,92.830040,137.304245,280.705688,70.153442,115.794922,279.208923,98.600098,-79.182709,269.926605,44.629597,-95.750015,276.196716,82.626045,-105.790306,206.793457,-332.349091,-127.756523,275.869049,93.527428,-288.810883,206.348877,373.442017,-292.810883,204.878662,167.154739,-293.009674,205.575378,-3.756213,-294.996704,205.582733,-152.875778,131.401306,206.748779,53.922577,308.836578,205.881424,-133.427963,-95.974747,206.935196,20.501541,-96.805038,281.237701,86.114082,42.947212,207.532883,-59.302670,-135.125870,207.905792,163.123413,107.389404,207.999329,119.816017,-38.639183,207.535309,-62.866138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
