Format Version,1.22,Take Name,crazyflie_traj26,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,24 Jan 1970 07:18:21 -0500,Total Frames in Take,1200,Total Exported Frames,1200,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4",cf:Marker1,cf:Marker1,cf:Marker1,cf:Marker2,cf:Marker2,cf:Marker2,cf:Marker3,cf:Marker3,cf:Marker3,cf:Marker4,cf:Marker4,cf:Marker4,Unlabeled 3937,Unlabeled 3937,Unlabeled 3937,Unlabeled 3938,Unlabeled 3938,Unlabeled 3938,Unlabeled 3939,Unlabeled 3939,Unlabeled 3939,Unlabeled 3940,Unlabeled 3940,Unlabeled 3940,Unlabeled 3941,Unlabeled 3941,Unlabeled 3941,Unlabeled 3942,Unlabeled 3942,Unlabeled 3942,Unlabeled 3943,Unlabeled 3943,Unlabeled 3943,Unlabeled 3944,Unlabeled 3944,Unlabeled 3944,Unlabeled 3945,Unlabeled 3945,Unlabeled 3945,Unlabeled 3946,Unlabeled 3946,Unlabeled 3946,Unlabeled 3947,Unlabeled 3947,Unlabeled 3947,Unlabeled 3948,Unlabeled 3948,Unlabeled 3948,Unlabeled 3949,Unlabeled 3949,Unlabeled 3949,Unlabeled 3950,Unlabeled 3950,Unlabeled 3950,Unlabeled 3951,Unlabeled 3951,Unlabeled 3951,Unlabeled 3952,Unlabeled 3952,Unlabeled 3952,Unlabeled 3953,Unlabeled 3953,Unlabeled 3953,Unlabeled 3954,Unlabeled 3954,Unlabeled 3954,Unlabeled 3955,Unlabeled 3955,Unlabeled 3955,Unlabeled 3956,Unlabeled 3956,Unlabeled 3956,Unlabeled 3957,Unlabeled 3957,Unlabeled 3957,Unlabeled 3958,Unlabeled 3958,Unlabeled 3958,Unlabeled 3959,Unlabeled 3959,Unlabeled 3959,Unlabeled 3960,Unlabeled 3960,Unlabeled 3960,Unlabeled 3961,Unlabeled 3961,Unlabeled 3961,Unlabeled 3962,Unlabeled 3962,Unlabeled 3962,Unlabeled 3963,Unlabeled 3963,Unlabeled 3963,Unlabeled 3964,Unlabeled 3964,Unlabeled 3964,Unlabeled 3965,Unlabeled 3965,Unlabeled 3965,Unlabeled 3966,Unlabeled 3966,Unlabeled 3966,Unlabeled 3967,Unlabeled 3967,Unlabeled 3967,Unlabeled 3968,Unlabeled 3968,Unlabeled 3968,Unlabeled 3970,Unlabeled 3970,Unlabeled 3970,Unlabeled 3971,Unlabeled 3971,Unlabeled 3971,Unlabeled 3974,Unlabeled 3974,Unlabeled 3974,Unlabeled 3975,Unlabeled 3975,Unlabeled 3975,Unlabeled 3976,Unlabeled 3976,Unlabeled 3976,Unlabeled 3977,Unlabeled 3977,Unlabeled 3977,Unlabeled 3978,Unlabeled 3978,Unlabeled 3978,Unlabeled 3981,Unlabeled 3981,Unlabeled 3981,Unlabeled 3982,Unlabeled 3982,Unlabeled 3982
,,"32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","32A33FB571C811F0DFF24AA584E86A9E","1096C0","1096C0","1096C0","108C30","108C30","108C30","109090","109090","109090","109650","109650","109650","FE850","FE850","FE850","FE8D0","FE8D0","FE8D0","FEA20","FEA20","FEA20","FEA30","FEA30","FEA30","FEA50","FEA50","FEA50","FEAB0","FEAB0","FEAB0","FEAD0","FEAD0","FEAD0","FEAE0","FEAE0","FEAE0","FEAF0","FEAF0","FEAF0","FEB70","FEB70","FEB70","FEB80","FEB80","FEB80","FEC00","FEC00","FEC00","FEC10","FEC10","FEC10","FEC30","FEC30","FEC30","FEC40","FEC40","FEC40","FEC50","FEC50","FEC50","FEC60","FEC60","FEC60","FED40","FED40","FED40","100340","100340","100340","101DE0","101DE0","101DE0","1031E0","1031E0","1031E0","1060F0","1060F0","1060F0","106B60","106B60","106B60","106BA0","106BA0","106BA0","106C80","106C80","106C80","106E60","106E60","106E60","106E80","106E80","106E80","106E90","106E90","106E90","106F50","106F50","106F50","109230","109230","109230","1093B0","1093B0","1093B0","109910","109910","109910","109930","109930","109930","109940","109940","109940","109970","109970","109970","109980","109980","109980","109960","109960","109960","1099A0","1099A0","1099A0","1099B0","1099B0","1099B0","1099E0","1099E0","1099E0","1099F0","1099F0","1099F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.006790,-0.701143,0.000084,-0.712988,-126.292290,3.209572,170.710678,0.086075,-119.202301,3.366147,177.967178,0.747179,-133.559616,2.801560,167.429718,0.706903,-133.387589,3.061379,172.877640,0.808312,-119.019638,3.609200,164.568146,0.876861,-119.122383,3.363619,177.959015,-133.634964,2.778108,167.349762,-133.412308,3.078024,172.909836,-119.004227,3.614918,164.609894,-126.632080,206.156250,104.343628,-100.865623,207.832001,505.417389,-25.116024,207.813644,273.617188,115.454170,276.738678,91.418266,51.672318,207.017136,26.149559,203.926010,206.355972,-137.310974,138.093750,277.225281,92.825790,137.298752,280.709381,70.153175,115.790710,279.210449,98.599838,-79.193176,269.934631,44.638252,-95.755409,276.204193,82.624283,-105.790260,206.797653,-332.338562,-127.762482,275.874390,93.529526,-288.819550,206.353088,373.442230,-292.798645,204.883438,167.145233,-293.029449,205.580002,-3.756988,-294.850433,205.424927,-152.838867,131.425522,206.713989,53.942669,-96.806534,281.241638,86.115288,183.286591,207.635925,40.376682,-196.291885,206.444931,-20.938635,311.266724,206.704041,17.311235,306.128845,208.755142,197.829254,308.841675,205.886337,-133.426117,310.515045,209.140732,374.395844,89.285507,207.650513,16.368315,85.711067,208.607910,240.158585,-18.642170,208.293457,85.663582,220.436356,207.610901,75.380150,-96.062332,206.988937,20.422781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.006737,-0.701624,0.000088,-0.712515,-126.285957,3.213475,170.728058,0.063473,-119.186172,3.368984,177.975006,0.788654,-133.557755,2.806298,167.456894,0.826883,-133.378357,3.065762,172.904602,0.858160,-119.021568,3.612857,164.575760,0.891577,-119.114304,3.366482,177.964966,-133.607132,2.790982,167.422836,-133.414673,3.077809,172.910889,-119.004395,3.617691,164.610260,-126.632820,206.157166,104.343918,-100.860886,207.848312,505.408905,-25.114771,207.813614,273.617371,115.455200,276.734924,91.421814,51.672447,207.015854,26.149464,203.926437,206.357162,-137.310654,138.094116,277.222992,92.831039,137.292358,280.710663,70.146469,115.796593,279.212036,98.602852,-79.173279,269.927399,44.618259,-95.753090,276.202881,82.629272,-105.790199,206.797455,-332.342102,-127.766670,275.874084,93.530365,-288.817993,206.356903,373.443481,-292.812073,204.884888,167.154968,-293.015106,205.579559,-3.756070,-294.850433,205.422729,-152.840591,131.402344,206.749817,53.926636,-96.806335,281.241547,86.115662,183.294540,207.631424,40.350185,-196.292633,206.445145,-20.940840,311.273132,206.701614,17.305653,306.118713,208.754181,197.829514,308.839294,205.888412,-133.427063,310.661407,209.192703,374.700653,89.285599,207.650681,16.370764,85.709831,208.605148,240.155380,-18.640854,208.294159,85.665161,220.436447,207.609695,75.377342,-96.063904,206.988220,20.423258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.006681,-0.701855,-0.000464,-0.712289,-126.282883,3.204878,170.732910,0.064768,-119.178459,3.359221,177.975342,0.805758,-133.556519,2.795363,167.466156,0.807555,-133.373734,3.050318,172.913956,0.850288,-119.022797,3.614610,164.576202,0.888717,-119.116653,3.361546,177.964127,-133.606674,2.790740,167.419815,-133.404327,3.051738,172.933762,-119.003975,3.615291,164.609558,-126.633369,206.156281,104.343140,-100.863029,207.848526,505.412292,-25.115658,207.813843,273.617004,115.457260,276.736542,91.422424,51.671768,207.018570,26.162243,203.927612,206.356735,-137.311096,138.094147,277.223389,92.831512,137.298126,280.709167,70.147217,115.791893,279.214783,98.598053,-79.182602,269.927765,44.625092,-95.751274,276.202332,82.630157,-105.790268,206.797653,-332.341370,-127.762947,275.872864,93.526321,-288.817322,206.353668,373.442230,-292.796875,204.883148,167.142609,-293.023956,205.576996,-3.755337,-294.851532,205.428238,-152.837845,131.402176,206.752991,53.926743,-96.805099,281.242584,86.118355,183.287354,207.633713,40.370243,-196.293106,206.445816,-20.942890,311.272034,206.699997,17.308573,306.119293,208.754593,197.829453,308.836761,205.888229,-133.425919,310.512512,209.138397,374.392212,89.286430,207.652756,16.367695,85.709671,208.606720,240.155212,-18.641108,208.295563,85.663834,220.440552,207.608932,75.387115,-96.064865,206.988815,20.421696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.006710,-0.701219,0.000028,-0.712914,-126.291786,3.211033,170.711960,0.087821,-119.200256,3.365995,177.966995,0.745224,-133.559830,2.803885,167.432480,0.702134,-133.386642,3.062664,172.880417,0.800866,-119.020424,3.611588,164.567963,0.873565,-119.120132,3.362941,177.958267,-133.634827,2.778651,167.350250,-133.413162,3.080914,172.914902,-119.004234,3.617797,164.609680,-126.632164,206.156464,104.340652,-100.868896,207.834595,505.422607,-25.115707,207.813019,273.617554,115.455353,276.735718,91.419250,51.673515,207.018311,26.162888,203.927826,206.356995,-137.310684,138.091370,277.224731,92.825653,137.295197,280.709595,70.146202,115.794144,279.212677,98.599365,-79.182098,269.928253,44.626915,-95.752945,276.203369,82.629562,-105.791077,206.798096,-332.338104,-127.762070,275.872711,93.528732,-288.818420,206.354996,373.443878,-292.807159,204.884201,167.154724,-293.008148,205.576279,-3.760543,-294.850311,205.423859,-152.838242,131.403534,206.750793,53.926746,-96.807281,281.240845,86.116798,183.285965,207.633713,40.376099,-196.293716,206.444794,-20.940256,311.266174,206.699921,17.311310,306.112610,208.755325,197.829102,308.841675,205.883713,-133.425827,310.508026,209.140366,374.388184,89.289063,207.649948,16.365135,85.712402,208.606552,240.162231,-18.640581,208.295990,85.666237,220.438599,207.609802,75.391716,-95.974876,206.943771,20.497917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.006689,-0.701174,0.000090,-0.712959,-126.294014,3.211620,170.714951,0.058762,-119.203392,3.366163,177.970871,0.773716,-133.561676,2.805135,167.434555,0.868194,-133.389160,3.064200,172.882492,0.881230,-119.021820,3.610981,164.571854,0.889237,-119.122421,3.363301,177.957413,-133.608688,2.791157,167.421799,-133.431763,3.075358,172.868530,-119.004128,3.616068,164.609924,-126.631462,206.155685,104.344688,-100.866608,207.833435,505.416351,-25.116032,207.812958,273.616699,115.454079,276.735748,91.422394,51.673431,207.016068,26.149988,203.927139,206.357162,-137.310806,138.093918,277.222290,92.822647,137.300079,280.707581,70.151428,115.796364,279.211273,98.603363,-79.175461,269.927063,44.617916,-95.752174,276.203094,82.627953,-105.790886,206.799240,-332.338867,-127.764008,275.870148,93.523506,-288.824097,206.353302,373.440460,-292.809052,204.885452,167.156219,-293.039764,205.578705,-3.754905,-294.855865,205.425613,-152.834839,131.403107,206.750488,53.926296,-96.807571,281.241821,86.119026,183.296295,207.632370,40.342369,-196.291794,206.445404,-20.940447,311.261688,206.700043,17.306570,306.124512,208.756073,197.829254,308.844910,205.884293,-133.427841,310.508118,209.140945,374.391571,89.285690,207.649658,16.371199,85.710258,208.605713,240.155884,-18.640842,208.295029,85.667725,220.434647,207.609528,75.382446,-96.060883,206.987640,20.423841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.006664,-0.701173,0.000219,-0.712960,-126.292992,3.211437,170.715012,0.058852,-119.202362,3.365464,177.970932,0.773552,-133.560745,2.806081,167.434662,0.867625,-133.388168,3.065892,172.882553,0.880582,-119.020691,3.608311,164.571899,0.889720,-119.121147,3.362106,177.958054,-133.607834,2.791188,167.422028,-133.430954,3.078002,172.868317,-119.003036,3.613764,164.609543,-126.631126,206.157333,104.344559,-100.868355,207.832077,505.413330,-25.114965,207.812927,273.617645,115.454697,276.740082,91.415588,51.674103,207.017654,26.157284,203.925232,206.356125,-137.310822,138.094711,277.221802,92.851639,137.296204,280.710480,70.147026,115.794670,279.211395,98.598991,-79.186188,269.931000,44.628883,-95.752266,276.205078,82.630829,-105.790016,206.797195,-332.345062,-127.762924,275.875153,93.531975,-288.816406,206.355148,373.442596,-292.805176,204.883743,167.152817,-293.021820,205.576965,-3.758225,-294.852386,205.425568,-152.838852,131.402954,206.751968,53.923309,-96.809616,281.242645,86.115608,183.296463,207.632568,40.343273,-196.293152,206.445358,-20.941698,311.266449,206.702377,17.307625,306.125488,208.753754,197.830276,308.841980,205.884293,-133.426544,310.510406,209.140442,374.390442,89.287186,207.649612,16.367458,85.712532,208.606857,240.160751,-18.641338,208.295898,85.667320,220.439957,207.608490,75.389771,-96.062645,206.988113,20.420683,0.163311,208.048981,348.774811,-17.595005,206.119400,-144.386475,,,,,,,,,,,,,,,,,,,,,,,,,,,
